Time: 1567799530, Messages: 0, Members Joined: 0
Time: 1567799535, Messages: 0, Members Joined: 0
Time: 1567799540, Messages: 0, Members Joined: 0
Time: 1567799545, Messages: 0, Members Joined: 0
Time: 1567799550, Messages: 0, Members Joined: 0
Time: 1567799555, Messages: 0, Members Joined: 1
Time: 1567799560, Messages: 0, Members Joined: 0
Time: 1567799565, Messages: 0, Members Joined: 0
Time: 1567799570, Messages: 0, Members Joined: 0
Time: 1567799575, Messages: 0, Members Joined: 0
Time: 1567799580, Messages: 0, Members Joined: 0
Time: 1567799585, Messages: 0, Members Joined: 0
Time: 1567799590, Messages: 0, Members Joined: 0
Time: 1567799595, Messages: 0, Members Joined: 0
Time: 1567799600, Messages: 0, Members Joined: 0
Time: 1567799605, Messages: 0, Members Joined: 0
Time: 1567799610, Messages: 0, Members Joined: 0
Time: 1567799615, Messages: 0, Members Joined: 0
Time: 1567799620, Messages: 0, Members Joined: 0
Time: 1567799625, Messages: 0, Members Joined: 0
Time: 1567799630, Messages: 0, Members Joined: 0
Time: 1567799635, Messages: 0, Members Joined: 0
Time: 1567799640, Messages: 0, Members Joined: 0
Time: 1567799645, Messages: 0, Members Joined: 0
Time: 1567799650, Messages: 0, Members Joined: 0
Time: 1567799655, Messages: 0, Members Joined: 0
Time: 1567799660, Messages: 0, Members Joined: 0
Time: 1567799665, Messages: 0, Members Joined: 0
Time: 1567799670, Messages: 0, Members Joined: 0
Time: 1567799675, Messages: 0, Members Joined: 0
Time: 1567799680, Messages: 0, Members Joined: 0
Time: 1567799685, Messages: 0, Members Joined: 0
Time: 1567799690, Messages: 0, Members Joined: 0
Time: 1567799695, Messages: 0, Members Joined: 0
Time: 1567799700, Messages: 0, Members Joined: 0
Time: 1567799705, Messages: 0, Members Joined: 0
Time: 1567799710, Messages: 0, Members Joined: 0
Time: 1567799715, Messages: 0, Members Joined: 0
Time: 1567799720, Messages: 0, Members Joined: 0
Time: 1567799725, Messages: 0, Members Joined: 0
Time: 1567799730, Messages: 0, Members Joined: 0
Time: 1567799735, Messages: 0, Members Joined: 0
Time: 1567799740, Messages: 0, Members Joined: 0
Time: 1567799745, Messages: 0, Members Joined: 0
Time: 1567799750, Messages: 0, Members Joined: 0
Time: 1567799755, Messages: 0, Members Joined: 0
Time: 1567799760, Messages: 0, Members Joined: 0
Time: 1567799765, Messages: 0, Members Joined: 0
Time: 1567799774, Messages: 0, Members Joined: 0
Time: 1567799779, Messages: 0, Members Joined: 0
Time: 1567799784, Messages: 0, Members Joined: 0
Time: 1567799789, Messages: 0, Members Joined: 0
Time: 1567799794, Messages: 0, Members Joined: 0
Time: 1567799799, Messages: 0, Members Joined: 0
Time: 1567799804, Messages: 0, Members Joined: 0
Time: 1567799809, Messages: 0, Members Joined: 0
Time: 1567799814, Messages: 0, Members Joined: 0
Time: 1567799821, Messages: 0, Members Joined: 0
Time: 1567799826, Messages: 0, Members Joined: 0
Time: 1567799831, Messages: 0, Members Joined: 0
Time: 1567799836, Messages: 0, Members Joined: 0
Time: 1567799841, Messages: 0, Members Joined: 0
Time: 1567799846, Messages: 0, Members Joined: 0
Time: 1567799851, Messages: 0, Members Joined: 0
Time: 1567799856, Messages: 0, Members Joined: 0
Time: 1567799861, Messages: 0, Members Joined: 0
Time: 1567799866, Messages: 0, Members Joined: 0
Time: 1567799871, Messages: 0, Members Joined: 0
Time: 1567799876, Messages: 0, Members Joined: 0
Time: 1567799881, Messages: 0, Members Joined: 0
Time: 1567799886, Messages: 0, Members Joined: 0
Time: 1567799891, Messages: 0, Members Joined: 0
Time: 1567799896, Messages: 0, Members Joined: 0
Time: 1567799901, Messages: 0, Members Joined: 0
Time: 1567799906, Messages: 0, Members Joined: 0
Time: 1567799911, Messages: 0, Members Joined: 0
Time: 1567799916, Messages: 0, Members Joined: 0
Time: 1567799921, Messages: 0, Members Joined: 0
Time: 1567799926, Messages: 0, Members Joined: 0
Time: 1567799931, Messages: 0, Members Joined: 0
Time: 1567799936, Messages: 0, Members Joined: 0
Time: 1567799941, Messages: 0, Members Joined: 0
Time: 1567799946, Messages: 0, Members Joined: 0
Time: 1567799951, Messages: 0, Members Joined: 0
Time: 1567799956, Messages: 0, Members Joined: 0
Time: 1567799961, Messages: 0, Members Joined: 0
Time: 1567799966, Messages: 0, Members Joined: 0
Time: 1567799971, Messages: 0, Members Joined: 0
Time: 1567799976, Messages: 0, Members Joined: 0
Time: 1567799981, Messages: 0, Members Joined: 0
Time: 1567800101, Messages: 0, Members Joined: 0
Time: 1567800106, Messages: 0, Members Joined: 0
Time: 1567800111, Messages: 0, Members Joined: 0
Time: 1567800116, Messages: 0, Members Joined: 0
Time: 1567800121, Messages: 0, Members Joined: 0
Time: 1567800126, Messages: 0, Members Joined: 0
Time: 1567800131, Messages: 0, Members Joined: 0
Time: 1567800136, Messages: 0, Members Joined: 0
Time: 1567800141, Messages: 0, Members Joined: 0
Time: 1567800146, Messages: 0, Members Joined: 0
Time: 1567800151, Messages: 0, Members Joined: 0
Time: 1567800156, Messages: 0, Members Joined: 0
Time: 1567800161, Messages: 0, Members Joined: 0
Time: 1567800166, Messages: 0, Members Joined: 0
Time: 1567800171, Messages: 0, Members Joined: 0
Time: 1567800176, Messages: 0, Members Joined: 0
Time: 1567800181, Messages: 0, Members Joined: 0
Time: 1567800186, Messages: 0, Members Joined: 0
Time: 1567800191, Messages: 0, Members Joined: 0
Time: 1567800196, Messages: 0, Members Joined: 0
Time: 1567800201, Messages: 0, Members Joined: 0
Time: 1567800206, Messages: 0, Members Joined: 0
Time: 1567800211, Messages: 0, Members Joined: 0
Time: 1567800216, Messages: 0, Members Joined: 0
Time: 1567800221, Messages: 0, Members Joined: 0
Time: 1567800226, Messages: 0, Members Joined: 0
Time: 1567800231, Messages: 0, Members Joined: 0
Time: 1567800236, Messages: 0, Members Joined: 0
Time: 1567800241, Messages: 0, Members Joined: 0
Time: 1567800246, Messages: 0, Members Joined: 0
Time: 1567800251, Messages: 0, Members Joined: 0
Time: 1567800256, Messages: 0, Members Joined: 0
Time: 1567800261, Messages: 0, Members Joined: 0
Time: 1567800266, Messages: 0, Members Joined: 0
Time: 1567800271, Messages: 0, Members Joined: 0
Time: 1567800276, Messages: 0, Members Joined: 0
Time: 1567800281, Messages: 0, Members Joined: 0
Time: 1567800286, Messages: 0, Members Joined: 0
Time: 1567800291, Messages: 0, Members Joined: 0
Time: 1567800296, Messages: 0, Members Joined: 0
Time: 1567800301, Messages: 0, Members Joined: 0
Time: 1567800306, Messages: 0, Members Joined: 0
Time: 1567800311, Messages: 0, Members Joined: 0
Time: 1567800316, Messages: 0, Members Joined: 0
Time: 1567800321, Messages: 0, Members Joined: 0
Time: 1567800326, Messages: 0, Members Joined: 0
Time: 1567800331, Messages: 0, Members Joined: 0
Time: 1567800336, Messages: 0, Members Joined: 0
Time: 1567800341, Messages: 0, Members Joined: 0
Time: 1567800346, Messages: 0, Members Joined: 0
Time: 1567800351, Messages: 0, Members Joined: 0
Time: 1567800356, Messages: 0, Members Joined: 0
Time: 1567800361, Messages: 0, Members Joined: 0
Time: 1567800366, Messages: 0, Members Joined: 0
Time: 1567800371, Messages: 0, Members Joined: 0
Time: 1567800376, Messages: 0, Members Joined: 0
Time: 1567800381, Messages: 0, Members Joined: 0
Time: 1567800386, Messages: 0, Members Joined: 0
Time: 1567800391, Messages: 0, Members Joined: 0
Time: 1567800396, Messages: 0, Members Joined: 0
